Video ID,Title,Comment,Comment_Likes
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,we will use dynamic programming to solve this problem :P,1
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,"Thanks man, for top-notch explanation.",0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,How to solve it if max weight is very high like in thousands.. we can't create matrix for thay high weight.. any other optimization,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,good example. thanks,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,do we have to sort the item in advance?,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,Bravo friend thank you very much,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,this is the best video on knapsack problem on YouTube,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,bc sahi se bna leya kr itna time waste krta ha,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,how to decide whether to  create a 1d or 2d array in dynamic programming question,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,Thanks,0
8LusJS5-AGo,0/1 Knapsack Problem Dynamic Programming,thank you so much sir!!!!!!!!!!!!!!,0
